executionTime,releaseTime
159479,17671339921895
182396,17671343920020
195313,17671347920020
177552,17671351919968
159948,17671355918926
157239,17671359918874
176354,17671363918353
157188,17671367919239
160729,17671371919030
159270,17671375917780
160052,17671379917416
156094,17671383917780
160260,17671387917155
160937,17671391916687
158177,17671395916530
159843,17671399917051
179167,17671403916218
155417,17671407915905
154635,17671411915905
158697,17671415915437
158541,17671419915124
160625,17671423915072
162708,17671427915593
159948,17671431915906
162031,17671435914291
158489,17671439913926
161250,17671443913978
156771,17671447913874
157604,17671451913301
160677,17671455913093
157188,17671459914708
188385,17671463913041
172396,17671467914291
162917,17671471912676
156927,17671475912208
160677,17671479912052
159480,17671483913927
159479,17671487912677
158438,17671491911114
181719,17671495910854
157291,17671499910593
159166,17671503910489
159271,17671507910437
157187,17671511910072
158437,17671515909812
159583,17671519910072
160104,17671523909291
157813,17671527909031
182865,17671531909083
177968,17671535908614
155677,17671539908770
157084,17671543909760
159011,17671547908927
155365,17671551909500
155000,17671555907625
190312,17671559907416
159583,17671563907156
161042,17671567906896
157969,17671571906687
156666,17671575907260
172031,17671579907000
160990,17671583906218
160677,17671587905594
159948,17671591903614
160520,17671595903458
182396,17671599902989
178959,17671603903354
180625,17671607903458
176719,17671611903354
180885,17671615902885
178698,17671619901948
178385,17671623901739
177396,17671627901583
160937,17671631901271
161198,17671635902885
162760,17671639900958
181511,17671643900906
180572,17671647900333
177605,17671651900229
185052,17671655900021
178490,17671659899812
181459,17671663899500
161928,17671667900177
160053,17671671899240
181719,17671675900073
181823,17671679898667
178802,17671683898198
176302,17671687898146
180625,17671691897938
160104,17671695899448
167448,17671699898458
183229,17671703897208
179375,17671707897104
177187,17671711898771
161823,17671715896479
158802,17671719896375
163646,17671723896479
156666,17671727897104
156302,17671731895906
180521,17671735895542
177396,17671739897834
175886,17671743897469
175469,17671747897156
185938,17671751897521
157760,17671755899084
158177,17671759898302
159896,17671763896792
158281,17671767896532
160521,17671771896323
179166,17671775895854
156250,17671779896480
157448,17671783896115
178125,17671787896844
154635,17671791895021
176407,17671795894813
176510,17671799894292
173906,17671803894084
184219,17671807894553
176406,17671811893823
177604,17671815894761
177187,17671819893563
177552,17671823892938
175781,17671827892730
159063,17671831892573
159427,17671835894084
159584,17671839892157
158125,17671843893876
177032,17671847891896
155365,17671851891480
158073,17671855891428
157813,17671859891324
161250,17671863892730
156719,17671867891376
155469,17671871892678
156511,17671875891480
156771,17671879891376
156771,17671883890542
160261,17671887890282
157760,17671891889761
155938,17671895889449
158698,17671899891063
153959,17671903890751
156094,17671907888459
157708,17671911888511
199792,17671915888563
159896,17671919887834
160782,17671923888303
160990,17671927887574
156146,17671931887886
157292,17671935887001
158854,17671939886584
178750,17671943886272
160261,17671947887209
162240,17671951886480
155781,17671955886480
159635,17671959885490
153490,17671963886115
155625,17671967885126
158229,17671971884918
159063,17671975884553
160000,17671979885282
160521,17671983884761
157031,17671987884397
159063,17671991884449
156302,17671995883564
156875,17671999883199
161094,17672003883199
160417,17672007884189
159323,17672011883668
164115,17672015882314
158594,17672019882001
160573,17672023881793
158281,17672027881897
158854,17672031881637
158594,17672035882105
158646,17672039881845
180990,17672043881480
176614,17672047880595
157916,17672051880074
157865,17672055879970
156458,17672059879553
161094,17672063879657
158437,17672067879449
182813,17672071879189
156771,17672075879032
165104,17672079879762
159740,17672083878460
180156,17672087878251
178646,17672091878043
157448,17672095879033
157552,17672099878355
156250,17672103877522
155521,17672107876897
155573,17672111876793
159011,17672115876689
158282,17672119876220
157968,17672123876220
158073,17672127877158
157969,17672131876324
158594,17672135875439
154895,17672139875543
157761,17672143874866
155729,17672147874554
159791,17672151874397
158229,17672155875751
158438,17672159874345
156511,17672163873929
182761,17672167873408
178750,17672171873304
179063,17672175873252
183020,17672179872887
156510,17672183874241
159636,17672187873460
